--- ALL EXERCISES IN CATALOG ---
- Abdominal Crunch | IMG: YES | Aliases: []
- Abdominal Supra | IMG: YES | Aliases: []
- Afundo com Halteres | IMG: YES | Aliases: []
- Agachamento Búlgaro | IMG: YES | Aliases: []
- Agachamento Livre | IMG: YES | Aliases: []
- Agachamento Sumô | IMG: YES | Aliases: []
- Barra Fixa (Pull-up) | IMG: YES | Aliases: []
- Cadeira Extensora | IMG: YES | Aliases: []
- Crucifixo Inverso | IMG: YES | Aliases: []
- Crucifixo com Halteres | IMG: YES | Aliases: []
- Crucifixo no Cabo | IMG: YES | Aliases: []
- Desenvolvimento | IMG: YES | Aliases: []
- Desenvolvimento Arnold | IMG: YES | Aliases: []
- Desenvolvimento com Barra | IMG: YES | Aliases: []
- Desenvolvimento com Halteres | IMG: YES | Aliases: []
- Desenvolvimento de Ombros | IMG: YES | Aliases: []
- Elevação Frontal | IMG: YES | Aliases: []
- Elevação Lateral | IMG: YES | Aliases: []
- Elevação Lateral no Cabo | IMG: YES | Aliases: []
- Esteira | IMG: YES | Aliases: []
- Flexão Declinada | IMG: YES | Aliases: []
- Flexão de Braço | IMG: YES | Aliases: []
- Leg Press 45° | IMG: YES | Aliases: []
- Leg Press 45° | IMG: YES | Aliases: []
- Levantamento Terra | IMG: YES | Aliases: []
- Mergulho em Paralelas | IMG: YES | Aliases: []
- Mesa Flexora | IMG: YES | Aliases: []
- Panturrilha Sentado | IMG: YES | Aliases: []
- Panturrilha em Pé | IMG: YES | Aliases: []
- Peck Deck (Voador) | IMG: YES | Aliases: []
- Pulldown com Pegada Neutra | IMG: YES | Aliases: []
- Pullover com Halter | IMG: YES | Aliases: []
- Puxada Alta | IMG: YES | Aliases: []
- Puxada Frontal | IMG: YES | Aliases: []
- Remada Alta | IMG: YES | Aliases: []
- Remada Baixa | IMG: YES | Aliases: []
- Remada Cavalinho | IMG: YES | Aliases: []
- Remada Curvada | IMG: YES | Aliases: []
- Remada Curvada com Barra | IMG: YES | Aliases: []
- Remada Invertida | IMG: YES | Aliases: []
- Remada com Halteres | IMG: YES | Aliases: []
- Rosca Alternada com Halteres | IMG: YES | Aliases: []
- Rosca Concentrada | IMG: YES | Aliases: []
- Rosca Direta | IMG: YES | Aliases: []
- Rosca Direta com Barra | IMG: YES | Aliases: []
- Rosca Martelo | IMG: YES | Aliases: []
- Rosca Scott | IMG: YES | Aliases: []
- Rosca no Cabo | IMG: YES | Aliases: []
- Stiff | IMG: YES | Aliases: []
- Supino Declinado | IMG: YES | Aliases: []
- Supino Inclinado com Barra | IMG: YES | Aliases: []
- Supino Reto | IMG: YES | Aliases: []
- Supino Reto com Barra | IMG: YES | Aliases: []
- Supino com Halteres | IMG: YES | Aliases: []
- Supino na Máquina | IMG: YES | Aliases: []
- Tríceps Coice | IMG: YES | Aliases: []
- Tríceps Corda | IMG: YES | Aliases: []
- Tríceps Francês | IMG: YES | Aliases: []
- Tríceps Supinado | IMG: YES | Aliases: []
- Tríceps Testa | IMG: YES | Aliases: []
